,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y7,110301*,Gold and cyanide filters,H8,15.0,,US,,R4,Costa Rica,2020
1,,Y7,110301*,Resines with cyanide and gold,H8,2.25,,US,,R4,Costa Rica,2020
2,,Y7,110301*,Water with gold and cyanide (gold stripper process),H8,7.5,,US,,R4,Costa Rica,2020
3,,Y7,160307*,Sludge with cyanide and gold,H8,45.0,,US,,R4,Costa Rica,2020
4,"A1180,B1110","Y20,Y22,Y23,Y24,Y27,Y28,Y29,Y30,Y31",200135*,Electronic components from the waste of computer parts,H12,30.0,,US,,"R4,R12",Costa Rica,2020
5,A2010,Y31,"160213*, 160215*",Whole cathode ray tubes,H11,86.0,,US,,R4,Costa Rica,2020
6,A1030,Y29,200121*,Crushed fluorescent tubes with mercury and plastic,H11,45.0,,US,,R4,Costa Rica,2020
