,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
60,,"Y18,Y31",19 02 04,Resudues arising from industrial waste disposal operations + Lead; lead compounds,"H4.1,H11,H13",96.16,AT,DE,D10,,Slovenia,2016
61,A3150,"Y18,Y41",19 02 08,Resudues arising from industrial waste disposal operations + Halogenated organic solvents,"H3,H6.1,H8",2076.56,,AT,D10,,Slovenia,2016
62,A3150,"Y18,Y41",19 02 08,Resudues arising from industrial waste disposal operations + Halogenated organic solvents,"H3,H6.1,H12",3634.3,,AT,D10,,Slovenia,2016
63,A3140,"Y18,Y42",19 02 08,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H13",1082.74,,AT,,"R13,R1",Slovenia,2016
64,A3140,"Y18,Y42",19 02 08,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H6.1,H11",497.82,,AT,,R1,Slovenia,2016
65,A3140,"Y18,Y42",19 02 08,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H6.1,H12",735.02,AT,DE,D10,,Slovenia,2016
66,A3140,"Y18,Y42",19 02 04,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H12,H13",4201.46,,AT,D10,,Slovenia,2016
67,A4100,"Y21,Y23",10 02 07,Hexsavalent chromium compounds + Zinc compounds,"H6.1,H11,H12",1845.93,AT,DE,,R4,Slovenia,2016
68,A1130,Y22,11 01 07,Copper compounds,"H6.1,H8,H12",33.278,,IT,,R5,Slovenia,2016
69,A1170,Y23,20 01 33,Zinc compounds,"H8,H13",109.987,IT,FR,,R4,Slovenia,2016
70,A4100,"Y23,Y31",10 02 07,Zinc compounds + Lead; lead compounds,"H6.1,H11,H12",443.15,"AT,CZ",PL,,R4,Slovenia,2016
71,A4100,"Y23,Y31",10 02 07,Zinc compounds + Lead; lead compounds,"H11,H12,H13",2109.8,"AT,CZ",PL,,R4,Slovenia,2016
72,A4100,"Y23,Y31",10 02 07,Zinc compounds + Lead; lead compounds,"H12,H13",1137.14,"AT,CZ",PL,,R4,Slovenia,2016
73,A4100,"Y23,Y31",10 02 07,Zinc compounds + Lead; lead compounds,"H6.1,H11,H11",1968.75,"AT,CZ",PL,,R4,Slovenia,2016
74,A4100,"Y23,Y31",10 02 07,Zinc compounds + Lead; lead compounds,"H6.1,H11,H12",4991.05,"AT,CZ",PL,,R4,Slovenia,2016
75,A1170,Y26,16 06 02,Cadmium; cadmium compounds,H8,11.225,IT,FR,,R4,Slovenia,2016
76,A1010,Y29,18 01 10,Mercury; mercury compounds,H6.1,0.149,,IT,,R4,Slovenia,2016
77,A1030,Y29,20 01 21,Mercury; mercury compounds,"H6.1,H11,H13",16.03,,AT,,R5,Slovenia,2016
78,A1030,Y29,20 01 21,Mercury; mercury compounds,H12,132.012,AT,DE,,"R4,R5",Slovenia,2016
79,A2010,Y31,16 02 15,Lead; lead compounds,H10,388.08,AT,DE,,R5,Slovenia,2016
80,A2010,Y31,16 02 15,Lead; lead compounds,"H6.1,H11,H13",215.4,AT,DE,,R5,Slovenia,2016
81,A2010,Y31,16 02 15,Lead; lead compounds,"H11,H12,H13",78.702,AT,DE,,R5,Slovenia,2016
82,A2010,Y31,16 02 15,Lead; lead compounds,H12,422.69,AT,DE,,R5,Slovenia,2016
83,A3150,Y41,07 05 03,Halogenated organic solvents,"H11,H13",17.48,AT,DE,,R2,Slovenia,2016
84,A3140,Y42,07 05 04,Organic solvents excluding halogenated solvents,"H3,H6.1,H13",1417.94,,AT,,R1,Slovenia,2016
85,A3140,Y42,15 02 02,Organic solvents excluding halogenated solvents,H12,0.712,AT,DE,,R4,Slovenia,2016
86,A1180,Y45,20 01 23,"Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H12,237.46,,AT,,"R3,R4",Slovenia,2016
87,A1180,Y45,16 02 11,"Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H12,994.06,,AT,,R4,Slovenia,2016
88,A1180,Y45,16 02 11,"Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H12,266.75,,IT,,"R3,R4",Slovenia,2016
89,,Y45,14 06 01,"Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H12,3.131,AT,DE,D10,,Slovenia,2016
90,A4100,,19 01 07,solid waste from the treatment of waste gases,H13,139.74,,AT,D9,,Slovenia,2016
