,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_destination,annex_4_a,annex_4_b,country,year
0,"Y17,Y18",No official data,A1050,,,,500,,DE,,R4,Viet Nam,2015
1,Y_,No official data,A1080,,,,600,,JP,,R4,Viet Nam,2015
2,Y_,No official data,A1080,,,,230,,MY,,R4,Viet Nam,2015
