,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1070,Y23,110202*,,H12,569.66,DE,BE,,R4,Poland,2017
1,A2030,,160807*,Spent catalysts,H11,25.8065,,GB,,R4,Poland,2017
2,A3020,Y8,"130205*,130206*,130206*,130110*",,H12,98.0,,DE,,R9,Poland,2017
3,A1050,Y17,110109*,,"H11,H12",163.78,,DE,,R4,Poland,2017
4,Y47,,190107*,Solid wastes from gas treatment,H12,5499.62,,DE,,R5,Poland,2017
5,A2030,,"160801[PL],160807*[IT]",Spent catalysts car,,73.9455,"DE,AT",IT,,R4,Poland,2017
6,A1060,"Y17,Y23",110105*,,H8,237.23,,CZ,,R4,Poland,2017
7,A4070,Y12,080111*,,"H3,H4.1,H12",0.52,DE,NL,,R4,Poland,2017
8,A4130,Y12,150110*,,"H3,H4.1,H12",0.75,DE,NL,,R4,Poland,2017
9,A4070,Y12,150202*,,"H4.1,H12",3.72,DE,NL,,R4,Poland,2017
10,A2030,Y18,160807*,,H3,94.0,"DE,NL",BE,,R4,Poland,2017
11,,Y18,100308*,Salt slags from secondary production,H4.3,672.9,,DE,,R5,Poland,2017
12,,Y5,170204*,Wooden sleepers,H12,511.28,DE,GB,,R3,Poland,2017
13,A2030,,160802*,Spent catalysts,"H4.2,H11",4540.89,CZ,AT,,R4,Poland,2017
14,A4100,"Y23,Y26,Y31",100815*,,"H11,H12",74.4,DE,BE,,R4,Poland,2017
15,A4160,Y18,"061302*,070110*,150202*,190110*",,H12,38.49,"DE,NL",BE,,R7,Poland,2017
16,A1130,Y17,110107*,,H6.1,94.167,DE,BE,,R6,Poland,2017
17,A1060,"Y17,Y23",110105*,,H8,57.15,,CZ,,R4,Poland,2017
18,A1060,"Y17,Y23",110105*,,H8,123.05,,CZ,,R4,Poland,2017
19,Y47,,190107*,Solid wastes from gas treatment,H12,1984.92,,DE,,R5,Poland,2017
20,A1050,Y17,"110109*,190813*,190205*",,"H11,H12",171.67,,DE,,R4,Poland,2017
21,A1160,"Y31,Y34",160601*,,H8,838.315,,DE,,R4,Poland,2017
22,,Y18,100308*,Salt slags from secondary production,H4.3,1687.22,,DE,,R5,Poland,2017
23,A3020,Y8,"130205*,130206*,130208*,130110*",,H12,9925.99,,DE,,R9,Poland,2017
24,A1030,Y29,170903*,,H8,376.0,,DE,D12,,Poland,2017
25,A2030,,160802*,Spent catalysts,H4.2,65.201,,DE,,R4,Poland,2017
26,A1030,Y29,060404*,,H8,122.26,,DE,D12,,Poland,2017
27,A1050,Y17,110109*,,H12,100.385,,DE,,R4,Poland,2017
28,A4140,"Y29,Y33,Y34,Y35",160506*,,"H6.1,H8",21.247,,DE,,R4,Poland,2017
29,A1060,Y17,110105*,,"H8,H12",5.8,,DE,,R4,Poland,2017
30,,Y8,170204*,Wooden sleepers,H12,3908.78,DE,GB,,R3,Poland,2017
31,A2030,,"160801[PL],160807*[IT]",Spent catalysts car,,63.9839,"DE,AT",IT,,R4,Poland,2017
32,A4070,Y12,080111*,,"H3,H4.1,H12",0.134,DE,NL,,R4,Poland,2017
33,A3130,Y12,150110*,,"H3,H4.1,H12",0.561,DE,NL,,R4,Poland,2017
34,A4070,Y12,150202*,,"H4.1,H12",2.359,DE,NL,,R4,Poland,2017
35,A2030,,160802*,Spent catalysts,H4.2,542.44,DE,NL,,R8,Poland,2017
36,A1160,"Y31,Y34",160601*,,"H8,H12",385.986,"CZ,SK,HU",SI,,R4,Poland,2017
37,A1170,,"160605,200134",Batteries,,40.967,"LT,LV,EE",FI,,R4,Poland,2017
38,A3020,Y8,"130205*,130208*",,H12,50.2,,DE,,R9,Poland,2017
39,A1050,Y17,110109*,,H12,101.54,,DE,,R4,Poland,2017
40,A3020,Y8,"130208*,130205*",,H12,48.84,,DE,,R9,Poland,2017
