,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
152,A3140,Y42,07 03 04*,solvents,H3,509.64,,SI,D10,,Barbados,2020
153,A3140,Y42,07 05 04*,solvents,H3,1903.56,,SI,,R13,Barbados,2020
154,,Y18,19 03 04*,premixed wastes,H12,194.14,,SI,,R5,Barbados,2020
155,A4140,Y14,16 05 06*,chemicals,H10,4.6,,SI,D15,,Barbados,2020
156,A1180,,16 02 13*,WEEEs,"H11,H13",37.374,,SK,,R4,Barbados,2020
157,A1100,,10 06 03*,filterdusts,H12,1182.14,,SK,,R13,Barbados,2020
158,A4060,Y9,05 01 03*,oily sludge,H12,586.68,,SK,D10,,Barbados,2020
159,A2030,,16 08 02*,spent catalysts,H6.1,2895.74,,SK,,R4,Barbados,2020
160,A4010,Y2,07 05 13*,production waste,H3,311.12,"HR,SI",RS,D10,,Barbados,2020
161,A4140,Y14,16 05 06*,chemicals,H3,62.81,"HR,SI",RS,D10,,Barbados,2020
162,A4070,Y12,08 01 11*,paint waste,H3,269.44,"HR,SI",RS,D10,,Barbados,2020
163,A4030,Y4,07 04 13*,production residues,H6.1,21.37,"HR,SI",RS,D10,,Barbados,2020
164,A1060,Y17,11 01 05*,etching solution,H8,669.16,HU,RS,,R4,Barbados,2020
165,A3020,Y8,13 02 08*,cutting oil,H3,86.9,"HR,SI",RS,D10,,Barbados,2020
166,A1060,Y17,11 01 05*,pickling acid,H8,670.76,,DE,,R4,Barbados,2020
167,,Y17,12 01 18*,metal sludge,H11,8.663,,DE,,R4,Barbados,2020
168,Y46,,20 03 01,MSW,,3685.58,,DE,,R3,Barbados,2020
169,Y46,,20 03 99,biowaste,,4860.13,,DE,,R3,Barbados,2020
170,Y46,,19 12 12,sorting residues,,5251.583,,DE,,R3,Barbados,2020
171,Y46,,19 12 12,MSW,,58.62,,DE,,R12,Barbados,2020
172,Y46,,20 03 01,MSW,,159.8,,DE,,R1,Barbados,2020
173,Y46,,19 05 01,biological treated waste,,499.465,,IT,,R1,Barbados,2020
174,Y46,,19 12 12,sorted waste,,9083.94,,IT ,,R3,Barbados,2020
175,Y46,,19 12 10,RDF,,5811.21,,IT ,D1,,Barbados,2020
176,Y46,,19 12 12,sorting residues,,25302.75,,IT ,,R1,Barbados,2020
177,Y46,,19 05 01,biological treated waste,,24346.21,,IT ,,R1,Barbados,2020
178,Y46,,19 05 01,biological treated waste,,2323.0,,IT ,,R3,Barbados,2020
179,Y46,,19 12 12,sorted waste,,1848.1,,IT ,,R1,Barbados,2020
180,Y46,,19 12 12,RDF,,7009.58,,IT ,D8,,Barbados,2020
181,Y46,,19 12 12,sorting residues,,5138.4,,IT ,D1,,Barbados,2020
182,Y46,,19 12 12,sorting residues,,30060.9,,SI,,R1,Barbados,2020
183,Y47,,19 01 12,slag,,2402.0,,SI,,R1,Barbados,2020
184,Y47,,19 01 11*,slag,H12,1474.0,,SI,,R3,Barbados,2020
185,Y47,,19 01 12,slag,H13,15599.4,,CH,D1,,Barbados,2020
