,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
113,A4140,"Y32,Y33,Y45",160504*,Residuo peligroso,"H3,H8,H10,H11",3.349,,FR,D10,,Spain,2018
114,A4130,"Y32,Y41,Y42,Y45",160504*,Residuo peligroso,"H3,H8,H10,H11",19.564,"FR,BE,NL",DE,D10,,Spain,2018
115,A3150,Y41,160807*,Chlorinated catalysts,,36.7,,FR,D10,,Spain,2018
116,A3150,Y41,070107*,Heavy distillation funds,,11.0,,FR,D10,,Spain,2018
117,"A3150,Y46",Y41,160807*,Used catalysts,H8,39.348,FR,IT,D13,,Spain,2018
118,"A3150,Y46",Y41,070107*,"Ciba, isomers, heavy distillation bottoms",,10.356,FR,IT,D13,,Spain,2018
119,A2030,Y39,160807*,Catalysts,H8,48.06,,FR,D10,,Spain,2018
120,A4140,Y39,070107* 070208*,Heavy distillation funds,H8,45.52,,FR,D10,,Spain,2018
121,A2030,"Y39,Y41",160807*,Catalysts,H8,43.09,,FR,,"R12,R1",Spain,2018
122,A4140,Y41,070107*,Heavy distillation funds,,38.825,,FR,,"R12,R1",Spain,2018
123,A4140,Y39,070208*,Heavy phenol distillation bottoms,,47.725,,FR,,"R12,R1",Spain,2018
124,A1170,Y27,160602*,PILAS DE NIQUEL CADMIO,H12,120.48,"FR,DE",CZ,,R12,Spain,2018
125,A1100,Y23,100606*,Oxidos de Zinc,H12,1294.0,,GB,,R4,Spain,2018
126,A1100,Y23,100606*,Oxidos de Zinc,H6.1,62.12,,IT,,R4,Spain,2018
127,A1100,Y23,100606*,Oxidos de Zinc,H6.1,39.8,,BE,,R4,Spain,2018
128,,Y23,100207*,Residuos sólidos del tratamiento de gases que contienen sustancias peligrosas,H12,3065.7,,FR,,R4,Spain,2018
129,A1010,,191211*,POLVO MEZCLA SISTEMAS TRITURACIÓN,H11,244.39,"FR,BE",DE,,R4,Spain,2018
130,A1030,Y29,06404*,POLVO DE FLUORESCENTES SIN DESTILAR CON MERCURIO,H6.1,23.0,FR,DE,,R4,Spain,2018
131,A1030,Y29,06404*,SOLIDOS CON SALES DE MERCURIO,H6.1,170.66,FR,DE,D12,,Spain,2018
132,A1030,Y29,06404*,RESIDUOS QUE CONTIENEN MERCURIO,H6.1,44.86,"FR,BE",DE,D9,,Spain,2018
133,A1050,Y17,190205*,LODOS CON COMPUESTOS METALICOS,H12,447.36,FR,DE,,R4,Spain,2018
134,A1170,Y26,160602*,ACUMULADORES Ni-Cd,H8,231.61,,FR,,R4,Spain,2018
135,A3180,Y10,170503*,TIERRAS CONTAMINADAS,H12,12.48,FR,BE,D10,,Spain,2018
136,A4020,Y1,180103-180108*,RESIDUOS HOSPITALARIOS,H6.2,877.34,,FR,D10,,Spain,2018
137,A4090,Y45,70707*,REACTIVOS DE REACCION HALOGENADOS,H8,37.22,,FR,D10,,Spain,2018
138,A4090,Y45,70707*,REACTIVOS DE REACCION HALOGENADOS,H6.1,50.22,,FR,D10,,Spain,2018
139,A4140,Y29,160506*,REACTIVOS DE LABORATORIO RESIDUALES,H6.1,27.86,"FR,LU",DE,,R3,Spain,2018
140,A1130,Y17,110107*,SOLUCION ALCALINA CUPRO-AMONIACAL,H6.1,151.44,FR,IT,,R5,Spain,2018
141,A4100,Y23,100207*,Residuos sólidos de tratamiento de gases que contienen sustancias peligrosas,,511.96,SG,KR,,R4,Spain,2018
142,,Y29,060404*,MERCURIO LIQUIDO 99% MERCURIO,"H6.1,H8,H10",165.271,FR,CH,D9,,Spain,2018
143,A4100,Y23,100207,POLVO DE ARCO ELECTRICO DE HORNO,,3082.89,"IT,EG,AE,SG,CN,KR",KR,,R4,Spain,2018
144,,Y23,100207*,RESIDUOS SOLIDOS DE TRATAMIENTO DE GASES CON SUSTANCIAS PELIGROSAS,,2912.52,,KR,,R4,Spain,2018
