,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3180,Y10,Y10 and Y48,PCBs,"H11,H12",106.85,BR,FR,D10,,Argentina,2019
1,A1180,"Y20,Y21,Y22,Y23,Y25,Y26,Y29,Y31",Y48,E-waste,H12,11.02,,BE,,R4,Argentina,2019
2,,"Y23,Y29,Y35","Y23, Y29, Y35",Catalyst ashes from incineration,"H4.3,H6.1",0.35,"BR,ES",BE,,R4,Argentina,2019
3,,"Y11,Y39",Y11 and Y39 ,Spent catalysts,H13,92.03,BR,DK,,R4,Argentina,2019
4,,Y29,Y29,:lemental Mercury Waste,"H6.1,H8,H11,H12",96.19,"BE,CL,FR,PA,PE,US",CH,"D9,D12",,Argentina,2019
