,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,Recovery operation,country,year
0,Y9,Wastes of possessing of metallic production (mettal cutting emulsion),,,,,11,,RU,,R2,Kazakhstan,2004
1,Y18,remains of operations on industrial wastes disposal,,,,,37382,,RU,,R4,Kazakhstan,2004
2,Y22,Wastes containing  copper compounds,,,,,56,,RU,,R4,Kazakhstan,2004
3,Y23,Wastes containing  zinc compounds,,,,,36,,RU,,R4,Kazakhstan,2004
4,Y31,Wastes containing  lead compounds,,,,,4,,RU,,R4,Kazakhstan,2004
