,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1160,"Y31,Y34",NI,Baterías Usadas con Acido Plomo,"H8,H11",1162,,CR,D10,"R4,R6",Nicaragua,2020
1,A1160,"Y31,Y34",NI,Baterias Usadas Acido Plomo,"H8,H11",2000,"MX,PA",KR,D10,R4,Nicaragua,2020
2,A1160,"Y31,Y34",NI,Baterias Usadas Acido Plomo,"H8,H11",1525,MX,KR,D10,R4,Nicaragua,2020
3,"A1080,A1160",Y_,NI,"Residuos de Aparatos Eléctricos y Electrónicos, RAEE","H8,H11",20,,CR,"D14,D15",R4,Nicaragua,2020
