,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
66,,,20 03 01,Mixed municipal waste from commercial origin,H_,22852.53,,EE,,R1,Finland,2019
67,,,"19 12 10, 19 12 12, 20 03 01",Mixed municipal waste from commercial origin,H_,9869.57,,SE,,R1,Finland,2019
68,,,20 03 01,Mixed municipal waste from commercial origin,H_,21661.43,,SE,,R1,Finland,2019
69,,,19 12 03,NFR non-ferrous metal fraction from shredder operation,H_,974.72,SE,DK,,R12,Finland,2019
70,,,19 10 02,NFR non-ferrous metal fraction from shredder operation,H_,141.627,,DE,,R4,Finland,2019
71,,,19 12 03,NFR non-ferrous metal fraction from shredder operation,H_,632.46,,NL,,R4,Finland,2019
72,,,19 10 02,NFR non-ferrous metal fraction from shredder operation,H_,17440.54,,SE,,"R4,R1",Finland,2019
73,B4010,,08 01 12,Paint and pigment waste,H_,379.92,,SE,D10,,Finland,2019
74,B4010,,"08 01 12, 20 01 28",Paint and pigment waste,H_,102.32,,SE,D10,,Finland,2019
75,,,19 12 10,RDF Refuse derived fuel,H_,4349.86,,EE,,R1,Finland,2019
76,,,19 12 10,RDF Refuse derived fuel,H_,514.91,,SE,,R1,Finland,2019
77,,,"10 02 10, 10 02 15, 12 01 02",Sludge and scales from steel and iron production,H_,2808.66,,SE,,R4,Finland,2019
78,,,20 01 38,Unclassified - 90% av trämaterial,H_,215.28,,SE,,R12,Finland,2019
79,,,20 03 07,"Unclassified - skrymmande blandavfall stoppade möbler, utemöbler, heltäckningsmattor",H_,15.18,,SE,,R12,Finland,2019
80,,,06 08 99,"Unclassified, exhausted slicing slurry",H_,120.46,"CH,DE,NL",IT,,R5,Finland,2019
81,,,19 12 12,"Unclassified, metalscrap (containing also rubber, wood)",H_,39.86,BE,ES,,R4,Finland,2019
82,,,19 12 03,"Unclassified, Non-ferrous metal concentrate extracted from MSWI slags",H_,1093.7,,NL,,R4,Finland,2019
83,,,19 10 06,"Unclassified,polystyrene fraction from shredding of cooling appliances",H_,392.46,,DE,,"R3,R4",Finland,2019
84,,,06 08 99,Unclassified; Exhausted Slicing Slurry,H_,98.405,"CH,DE,NL",IT,,R5,Finland,2019
85,,,19 12 12,Unclassified; light waste fraction from metal shredding process,H_,158.18,,EE,,R12,Finland,2019
86,,,19 12 03,Unclassified; non-ferrous metal concentrate,H_,1035.16,BE,NL,,"R4,R5",Finland,2019
87,,,19 12 03,Unclassified; Non-ferrous metal concentrate extracted from MSWI slags,H_,192.42,,NL,,R4,Finland,2019
88,,,19 12 03,Unclassified; Non-ferrous metal concentrate from bottom ashes,H_,1237.21,BE,NL,,"R12,R5",Finland,2019
89,,,19 10 06,Unclassified; polystyrene fraction from shredding of cooling appliances,H_,387.31,,DE,,"R3,R4",Finland,2019
90,,,20 03 04,Waste water treatment sludge,H_,321.9,,SE,,R3,Finland,2019
91,,,"20 03 04, 20 03 06",Waste water treatment sludge,H_,616.4,,SE,,R3,Finland,2019
