,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4060,,"13 02 05*, 13 02 06*, 13 02 07*, 13 02 08*","13 02 05*	mineral-based non-chlorinated engine, gear and lubricating oils
13 02 06*	synthetic engine, gear and lubricating oils
13 02 07*	readily biodegradable engine, gear and lubricating oils
13 02 08*	other engine, gear and lubricating oils
","H11,H12",12.0,,,,R9,Turkey,2017
1,A3020,,"13 02 05*, 13 02 06*, 13 02 07*, 13 02 08*","13 02 04*	mineral-based chlorinated engine, gear and lubricating oils
13 02 05*	mineral-based non-chlorinated engine, gear and lubricating oils
13 02 06*	synthetic engine, gear and lubricating oils
13 02 07*	readily biodegradable engine, gear and lubricating oils
13 02 08*	other engine, gear and lubricating oils
","H4.1,H5.1,H6.1",,,,,R9,Turkey,2017
