,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_destination,annex_4_a,annex_4_b,country,year
0,Y8,setting of oil,,,,,1683.7,,KZ,,R2,Uzbekistan,2001
1,Y17,plastic material scrap,,,,,4.6,,TJ,,R5,Uzbekistan,2001
