,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y22,2620300000,Copper alloy scrap,,10000,,DE,,R4,Russian Federation,2017
1,,Y17,2619009000,Slag arising from the manufacture of iron and steel including,,5000,DE,AT,,R4,Russian Federation,2017
2,,Y17,2619009000,Slag arising from the manufacture of iron and steel including,,20000,DE,AT,,R4,Russian Federation,2017
3,,Y17,2619009000,Slag arising from the manufacture of iron and steel including,,22500,DE,AT,,R4,Russian Federation,2017
4,,Y22,2620300000,Copper oxide mill-scale,,4471,,BE,,R4,Russian Federation,2017
5,,Y_,2619002000,Slag of ferrous metals production,,50000,,FI,,R4,Russian Federation,2017
6,A1170,,8548100000,Intact spent lithium thionyl chloride chemical current sources,,100,,CA,,R4,Russian Federation,2017
