,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
231,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,15.72,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
232,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,20.32,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
233,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,15.36,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
234,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,17.0,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
235,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,15.92,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
236,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,20.34,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
237,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,17.73,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
238,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,19.96,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
239,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,24.0,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
240,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,15.7,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
241,Y2,Mixed Non-Halogenated-Solvents,,3,H3,Flammable,18.46,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
242,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,19.58,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
243,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,9.78,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
244,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,20.66,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
245,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,26.001,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
246,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,19.16,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
247,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,7.96,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
248,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,20.36,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
249,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,20.04,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
250,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,21.4,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
251,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,8.9,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
252,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,9.86,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
253,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,18.64,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
254,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,18.74,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
255,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,9.58,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
256,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,19.58,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
257,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,19.88,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
258,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,20.3,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
259,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,11.72,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
260,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,19.94,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
261,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,19.8,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
262,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,20.18,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
263,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,22.0,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
264,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,21.16,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
265,"Y2,Y42",Non-Halogenated Solvents,,3,H3,Flammable,19.92,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
