,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,B1010,"Y15,Y22",B1010,Copper Scrap,H11,1058.0,,AU,D2,,Sri Lanka,2017
1,B1100,Y23,B1100,Zinc scrap/skimming,H5.1,2248.0,,AU,D4,,Sri Lanka,2017
2,A3040,Y9,B3040,Reclaimed rubber,H4.1,1273.0,,CN,D1,,Sri Lanka,2017
3,B3010,Y17,B3010,Plastic factory rejects,H11,0.05,,MY,,R5,Sri Lanka,2017
