,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
0,Y8,setting of oil,,,,,1484.3,,TM,,R2,Uzbekistan,2001
1,Y17,plastic material scrap,,,,,105.8,,RU,,R5,Uzbekistan,2001
2,Y22,copper containing waste,,,,,404.3,,TJ,,R4,Uzbekistan,2001
3,Y23,zinc containing waste,,,,,2148.5,,KZ,,R4,Uzbekistan,2001
