,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,,"10 02 10, 12 01 02",Metal scales and dust from stainless steel production,H11,2997.7,SE,IS,,R4,Iceland,2020
1,,,"10 02 10, 12 01 02",Metal scales and dust from stainless steel production,H11,2158.9,,IS,,R4,Iceland,2020
